Survived,Pclass,Sex,Age,Fare,Embarked,IsAlone
1,1,1,0,39.4,0,0
0,2,1,2,26.0,0,0
1,3,1,1,9.35,0,0
1,1,1,2,164.8667,0,0
1,1,0,3,26.55,0,1
1,3,1,1,19.2583,1,0
0,3,0,1,7.2292,1,1
0,3,0,2,14.1083,0,0
0,2,0,1,11.5,0,0
1,1,1,2,25.9292,0,1
0,3,1,1,69.55,0,0
0,2,0,1,13.0,0,1
1,2,1,2,13.0,0,1
1,2,1,1,13.8583,1,0
0,1,0,1,50.4958,0,1
0,3,0,1,9.5,0,1
1,3,0,0,11.1333,0,0
0,3,0,1,7.8958,0,1
1,1,1,2,52.5542,0,0
0,1,0,2,5.0,0,1
0,3,0,2,9.0,0,1
1,2,1,1,24.0,1,0
1,3,1,0,7.225,1,1
0,3,0,1,9.8458,0,1
0,3,0,1,7.8958,0,1
0,3,0,1,7.8958,0,1
1,1,1,3,83.1583,1,0
1,2,1,1,26.0,0,0
0,3,0,2,7.8958,0,1
0,3,1,1,10.5167,0,1
0,2,0,1,10.5,0,1
0,3,0,1,7.05,0,1
0,3,1,2,29.125,2,0
0,2,0,1,13.0,0,1
1,1,1,1,30.0,0,1
0,3,1,1,23.45,0,0
1,1,0,1,30.0,1,1
0,3,0,1,7.75,2,1
